Sex,Age,Net Time,year,race,seconds,date,humidity,temp,heat.index,mean_pm25
FALSE,38,02:42:37,2003,HTX,9757,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,41,02:45:30,2003,HTX,9930,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,30,02:56:41,2003,HTX,10601,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,24,02:59:47,2003,HTX,10787,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,33,02:59:53,2003,HTX,10793,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,24,03:00:58,2003,HTX,10858,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,41,03:01:53,2003,HTX,10913,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,37,03:02:15,2003,HTX,10935,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,35,03:02:50,2003,HTX,10970,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,46,03:05:04,2003,HTX,11104,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,36,03:07:47,2003,HTX,11267,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,40,03:12:04,2003,HTX,11524,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,39,03:12:32,2003,HTX,11552,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,25,03:12:54,2003,HTX,11574,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,38,03:13:45,2003,HTX,11625,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,27,03:15:45,2003,HTX,11745,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,29,03:16:39,2003,HTX,11799,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,47,03:17:26,2003,HTX,11846,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,35,03:17:58,2003,HTX,11878,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,35,03:18:32,2003,HTX,11912,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,41,03:18:42,2003,HTX,11922,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,42,03:21:29,2003,HTX,12089,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,41,03:21:47,2003,HTX,12107,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,32,03:21:20,2003,HTX,12080,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,43,03:22:13,2003,HTX,12133,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,27,03:22:06,2003,HTX,12126,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,40,03:23:13,2003,HTX,12193,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,24,03:24:15,2003,HTX,12255,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,45,03:24:30,2003,HTX,12270,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,28,03:25:05,2003,HTX,12305,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,28,03:25:13,2003,HTX,12313,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,31,03:25:40,2003,HTX,12340,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,34,03:25:58,2003,HTX,12358,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,32,03:25:53,2003,HTX,12353,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,28,03:25:49,2003,HTX,12349,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,38,03:26:18,2003,HTX,12378,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,41,03:26:06,2003,HTX,12366,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,24,03:27:25,2003,HTX,12445,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,38,03:27:28,2003,HTX,12448,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,42,03:28:01,2003,HTX,12481,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,31,03:27:42,2003,HTX,12462,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,29,03:28:04,2003,HTX,12484,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,24,03:28:18,2003,HTX,12498,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,43,03:28:24,2003,HTX,12504,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,51,03:28:31,2003,HTX,12511,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
FALSE,37,03:28:25,2003,HTX,12505,2003-01-19,3.537300042808056,1.9099975585937727,1.91,11.05148148148148
